time,theta
18.972,-0.000853031566227119
18.992,-0.000905057903080609
19.012,-0.000962388787376891
19.036,-0.00102327441360228
19.052,-0.00107592558593594
19.084,-0.00112339352812898
19.092,-0.0011647311448125
19.116,-0.00120155440076404
19.132,-0.00124053654251312
19.152,-0.00127369847710937
19.176,-0.00130204502610645
19.192,-0.00132622609277732
19.212,-0.00134396382787265
19.232,-0.001352393103932
19.256,-0.00135315860119774
19.272,-0.00134384717808997
19.292,-0.00132830515442441
19.312,-0.00130458405537121
19.336,-0.00126964326318383
19.352,-0.00121331128919476
19.372,-0.00114907697552239
19.392,-0.00107159248265461
19.412,-0.000986684195862608
19.432,-0.000878053298212462
19.452,-0.000736200169116351
19.472,-0.000580658033558626
19.492,-0.000408637874885089
19.512,-0.000260032864764295
19.532,-0.000115933068222968
19.552,3.36009425601865e-05
19.572,0.00023187668418895
19.592,0.00047632230378551
19.612,0.000733208850614151
19.632,0.000991224113069463
19.652,0.00121749954394504
19.672,0.00144814647943195
19.692,0.00165590594045976
19.712,0.0018712283945588
19.732,0.00207984388278784
19.752,0.00229690332417864
19.772,0.00254425904226672
19.792,0.00278970660357682
19.812,0.0030210267982311
19.832,0.00320463277869638
19.852,0.0033824585789023
19.872,0.00354155516487776
19.892,0.00370157929949347
19.916,0.00384734951041546
19.932,0.00397949513424858
19.952,0.00410946773161936
19.972,0.00422604586350104
19.992,0.00433543939341185
20.012,0.00441926261510019
20.032,0.0044938907455455
20.052,0.00455706498125943
20.072,0.00460811694787156
20.092,0.00463596731642869
20.112,0.00464385563403192
20.132,0.00463847490887736
20.152,0.00461889281680308
20.172,0.00458550897238003
20.192,0.00453535650576697
20.212,0.00446171265823931
20.232,0.00437100402055758
20.252,0.00425413128284495
20.276,0.0041346862472708
20.296,0.00401428170722798
20.312,0.00388490733315433
20.336,0.00376090697130708
20.352,0.00362996138978274
20.372,0.00349082758809271
20.392,0.00332555629303834
20.412,0.00316745379155394
20.436,0.00299848197065454
20.452,0.00283390521949714
20.472,0.00266026622041694
20.492,0.00246808107885164
20.512,0.00227850826732824
20.532,0.00207768388362547
20.556,0.001886820020553
20.572,0.00165977249885283
20.592,0.00141923059787095
20.616,0.00116945675693612
20.636,0.000944845681380165
20.652,0.000767798607009983
20.676,0.000605731635156311
20.692,0.000443531802936446
20.712,0.000255116265990596
20.732,6.85262146557356e-05
20.752,-0.000133434720482806
20.772,-0.000317601732384654
20.792,-0.000490327595032791
20.812,-0.000646614726183278
20.832,-0.000777047053462077
20.852,-0.000894458083558839
20.872,-0.000986349848989833
20.892,-0.00107107839071524
20.912,-0.0011516628741134
20.932,-0.00123585806401092
20.952,-0.00130706632714313
20.972,-0.00137024475085998
20.996,-0.00141395705808948
21.012,-0.00143791756235365
21.032,-0.00144988000935717
21.052,-0.00145016574045695
21.072,-0.00143532735221152
21.092,-0.00140932213418214
21.112,-0.00137170864975045
21.136,-0.00130356441341012
21.152,-0.0012155030377374
21.172,-0.00112956701231194
21.196,-0.00103719213431926
21.212,-0.00094210309287993
21.232,-0.00082749395622916
21.252,-0.000691196527152671
21.272,-0.00053811180650451
21.292,-0.00037931018209911
21.312,-0.000229780755737296
21.332,-8.04219260463303e-05
21.352,7.07202786954914e-05
21.372,0.000241049562386788
21.392,0.000395488818638567
21.412,0.000555518930759309
21.432,0.000708494839357969
21.452,0.000863143877503527
21.472,0.00103036572877812
21.492,0.00119282738221169
21.512,0.0013656913003122
21.532,0.00151592842337334
21.552,0.00165285651047083
21.572,0.00177539256929305
21.592,0.00190233211452529
21.612,0.00202042217141147
21.632,0.00212716243443044
21.652,0.00223497428013424
21.672,0.00232415894893739
21.692,0.00241464485830519
21.712,0.00250387953648354
21.732,0.00258579836455638
21.752,0.00264697836496804
21.772,0.00268629662220582
21.792,0.00271138330843986
21.812,0.00272807348953202
21.832,0.00274344596087968
21.852,0.00274755682494294
21.872,0.00273914611912724
21.892,0.00272212874433639
21.916,0.00269966936573525
21.932,0.00266854939124403
21.952,0.00263567370925201
21.972,0.00260102807775106
21.992,0.0025552963258421
22.012,0.00247962789943299
22.032,0.00238719741366237
22.052,0.00229706839225563
22.072,0.00221341909900393
22.096,0.00214683235041898
22.116,0.00207873906688612
22.132,0.00199630087914753
22.152,0.00189292798396485
22.172,0.00179089846679476
22.192,0.00168442302788303
22.212,0.00158428317809094
22.236,0.00149418734570447
22.252,0.00140784532159527
22.272,0.00133522203575142
22.292,0.00126413174488834
22.312,0.00119147447623401
22.332,0.00110700766026317
22.352,0.00102782917407915
22.372,0.000947360727726149
22.392,0.000874480359294405
22.416,0.000816137598113426
22.432,0.000762103693159892
22.456,0.000710064090681305
22.476,0.000657110468999874
22.492,0.000614556907147424
22.516,0.000579978626915967
22.532,0.000556775058706836
22.556,0.000541111912570211
22.572,0.000524911105967661
22.592,0.000508796072008749
22.612,0.000492744016094647
22.632,0.000482591751748604
22.652,0.000477401710742215
22.672,0.000475542102965635
22.692,0.000477563806903746
22.712,0.000484767400891333
22.732,0.000497621144343663
22.752,0.000520265070701645
22.772,0.000549460528406347
22.792,0.00057759716381202
22.812,0.000605596008453792
22.832,0.000633856998749166
22.852,0.00066831516084412
22.872,0.000706157949579473
22.892,0.000748529591305883
22.916,0.000788073551916063
22.932,0.000830125274726933
22.952,0.000877935755927685
22.976,0.000925766243095084
22.992,0.000975606750190757
23.012,0.00102107456515261
23.032,0.00106565945247998
23.056,0.00110458685849528
23.072,0.00113900725991056
23.092,0.00116407700659273
23.112,0.00118255789860998
23.132,0.00120006164130237
23.152,0.00121440206963878
23.172,0.00122618445969703
23.192,0.00123258807037049
23.212,0.00123601189594425
23.232,0.00123772035178746
23.252,0.00123730313552958
23.272,0.00123457376907976
23.292,0.00122584959037486
23.312,0.00121205195828837
23.336,0.00118664715130604
23.356,0.00114971371639432
23.372,0.00110876444105545
23.392,0.00105922751743377
23.412,0.00100190673161106
23.432,0.000927328953667607
23.452,0.00084372499173827
23.476,0.000743111606765266
23.492,0.000639950161925409
23.512,0.000550180365765514
23.532,0.000457852389284162
23.552,0.000356774860714336
23.572,0.000225763790413398
23.592,7.05603691027376e-05
23.612,-0.000111818796909994
23.636,-0.000267422256945846
23.652,-0.000404085702841867
23.672,-0.000538674941707222
23.692,-0.000694318244615972
23.712,-0.000893768013255355
23.732,-0.00110404551155538
23.752,-0.00132062326372548
23.772,-0.00149759621788727
23.792,-0.00166620779981108
23.812,-0.00184263979786562
23.836,-0.00202641175134274
23.852,-0.00222305282177026
23.876,-0.00243422602588298
23.892,-0.0026863665909788
23.912,-0.00294160769207679
23.932,-0.00317697456668942
23.952,-0.00337553135426695
23.972,-0.00354405740375765
23.992,-0.0037182845533589
24.012,-0.00390989672553205
24.032,-0.00414665873120922
24.052,-0.00435436390680054
24.076,-0.00453703916697421
24.092,-0.00471749141784945
24.116,-0.00487348780097837
24.132,-0.0050183571019425
24.152,-0.00515341493760399
24.172,-0.00529302777694538
24.192,-0.00540956170108543
24.212,-0.00552470114881975
24.232,-0.00562726427090656
24.252,-0.00571463290399643
24.272,-0.00579527859661643
24.292,-0.00586332152713119
24.312,-0.00591984961058857
24.332,-0.00595169850015364
24.352,-0.00596792565008556
24.372,-0.00596805288534837
24.392,-0.00594607260796062
24.412,-0.00590861390548783
24.432,-0.0058540497461422
24.456,-0.00578665662975113
24.472,-0.00571818973114875
24.492,-0.00564282572981866
24.516,-0.0055555798356036
24.532,-0.00544930395240602
24.552,-0.0053328333415373
24.572,-0.00518741046684491
24.592,-0.00504862679457792
24.612,-0.00491532447633349
24.632,-0.00478133402033873
24.652,-0.0046338662120844
24.672,-0.0044571477151123
24.692,-0.00427147902199183
24.724,-0.00407037452317476
24.736,-0.00389731573134254
24.752,-0.0037327879338676
24.772,-0.0035672316806205
24.792,-0.00340152549430224
24.812,-0.00322173807841914
24.832,-0.00303829457694866
24.852,-0.00285356463131015
24.872,-0.00268220111389623
24.892,-0.00252158267301536
24.912,-0.00238224486279101
24.932,-0.0022477067501721
24.952,-0.00208943976481666
24.972,-0.00194329226757685
24.992,-0.00179269695116169
25.012,-0.00165036664155306
25.032,-0.00153099293333759
25.052,-0.0014220311874416
25.072,-0.00132181758463024
25.092,-0.00121745830916417
25.112,-0.00112972442222587
25.132,-0.00103941101234051
25.152,-0.000956044564783609
25.172,-0.000878022466676581
25.192,-0.000796736851605175
25.216,-0.000720374702250306
25.232,-0.000651954032954745
25.256,-0.000603805502526448
25.272,-0.000562915331203027
25.296,-0.000527842442592928
25.312,-0.000490036995433935
25.332,-0.000455625743927755
25.352,-0.000431198162410802
25.372,-0.000414602749723232
25.392,-0.000404791754454389
25.412,-0.0003970341065086
25.432,-0.000390538894050605
25.452,-0.000382348595981575
25.472,-0.000375984927657675
25.492,-0.000370872738764416
25.516,-0.000365977107064065
25.532,-0.000361819327489367
25.552,-0.00035685146606166
25.572,-0.000350680372642493
25.592,-0.000341909708109619
25.612,-0.000331075045521398
25.632,-0.000316534624709127
25.652,-0.000301417156740564
25.672,-0.00028702569575981
25.692,-0.000273666157819537
25.712,-0.00026153706775122
25.732,-0.000250406250596271
25.752,-0.000240836135591143
25.772,-0.000231372765720897
25.792,-0.000224401363162536
25.812,-0.000217320547334624
25.832,-0.000209944619585735
25.852,-0.000199198766335836
25.872,-0.00018395821247572
25.892,-0.000165865164868074
25.916,-0.00014439950840955
25.932,-0.000121533586051629
25.952,-9.27740135254598e-05
25.972,-6.33735711229171e-05
25.996,-2.93973144509132e-05
26.012,8.7712304501995e-06
26.032,4.5590202934696e-05
26.052,8.74655991561436e-05
26.072,0.000135305473156006
26.092,0.000188658181911377
26.112,0.000236278029144336
26.136,0.000281597259794221
26.152,0.00032041747208397
26.176,0.000352099745817963
26.192,0.000386745071767456
26.212,0.000421164214902983
26.232,0.000453932714030215
26.252,0.000481744288921175
26.272,0.000506833390651896
26.292,0.00052707671290027
26.312,0.000545072489883721
26.332,0.00056385699639067
26.352,0.000578910713715898
26.376,0.00059196741121691
26.392,0.00060104123132745
26.412,0.000606310845755153
26.432,0.000609534370835504
26.452,0.000610379256114632
26.472,0.000608442639959863
26.492,0.000602767862035012
26.512,0.000593152613642963
26.532,0.000581629103819378
26.552,0.000569735165656963
26.572,0.000558493503272404
26.592,0.000549322765898576
26.616,0.000542207656175757
26.632,0.000536811779394228
26.652,0.000533348901128184
26.672,0.000533302065846326
26.692,0.000537057381330948
26.712,0.000542968735406208
26.732,0.000552566122657439
26.752,0.000565789361422638
26.776,0.000580531474707876
26.792,0.000601361407302598
26.816,0.00062566855920752
26.832,0.000652397089299013
26.852,0.000679932286941388
26.872,0.000712507872687855
26.896,0.000746514734313863
26.916,0.000787058442837949
26.936,0.000833991312759419
26.952,0.000876549000481712
26.972,0.000919086831122463
26.992,0.000960641849462628
27.012,0.00100654102055686
27.032,0.00105598165279948
27.052,0.00111719582620117
27.076,0.00117741284742186
27.096,0.00123288846690354
27.112,0.00128351276229295
27.132,0.00132301088217695
27.152,0.00136340028186859
27.172,0.00141003127003784
27.192,0.00147452751580693
27.212,0.00154523605601611
27.232,0.00161055257799835
27.252,0.00166611590324487
27.272,0.00171516885249102
27.292,0.00176835303439427
27.312,0.00182625200097412
27.332,0.00189241922106964
27.352,0.00195207082902312
27.372,0.00200608982748789
27.392,0.002055054272968
27.42,0.00209885748940689
27.432,0.00213933776468046
27.452,0.00217762639143998
27.472,0.00221403388992468
27.492,0.00224753926048001
27.512,0.00228297020368206
27.532,0.00231343129799561
27.564,0.00234143458370729
27.572,0.00236943208951998
27.592,0.00239524197467321
27.612,0.00241902567172797
27.632,0.00244774344856738
27.652,0.00248287610107607
27.672,0.00251846139380277
27.692,0.00255649950064463
27.716,0.00259156739884661
27.732,0.00262525356653117
27.756,0.00265985375475919
27.776,0.00269253232955569
27.792,0.00272584917366929
27.812,0.00275520870666889
27.832,0.00278510272931153
27.856,0.00281526724402487
27.872,0.00285128905049986
27.892,0.00288483762156572
27.912,0.00291585993354384
27.936,0.00294680212247097
27.952,0.00297958628465963
27.972,0.00301605833871505
27.996,0.00305173515291702
28.012,0.00308744574362817
28.032,0.00311859895989446
28.052,0.00315036142346046
28.072,0.00318038879150786
28.092,0.00320832903825527
28.112,0.0032293705476796
28.132,0.00324383379120672
28.152,0.00325509146672244
28.172,0.00326307268966835
28.192,0.00326892928165301
28.216,0.00327110108804801
28.236,0.00327020166883255
28.252,0.00326601568578081
28.272,0.0032585612617894
28.292,0.00324860366703667
28.312,0.003237914012476
28.336,0.003226464628646
28.352,0.00321424900936245
28.372,0.00319686471758372
28.392,0.00317732115598795
28.412,0.00315513595293433
28.432,0.00313239679528562
28.452,0.0031064585449818
28.472,0.00307638055566243
28.492,0.00304582113500234
28.512,0.0030135321691373
28.532,0.00298245424026606
28.552,0.00294504847887343
28.576,0.002906915674245
28.592,0.00286526277848559
28.612,0.00282400137965671
28.632,0.00277803007133638
28.652,0.00272287657670677
28.672,0.00266549044667877
28.692,0.00260746755498128
28.712,0.00255569837027815
28.732,0.00249691050090606
28.752,0.00243837984530381
28.772,0.00237387138703013
28.792,0.00230840571653562
28.812,0.00223784947106221
28.832,0.00215942044420106
28.852,0.00208210806774239
28.872,0.00200371562519455
28.896,0.00193312526482416
28.912,0.00185843233287261
28.936,0.00178125547321645
28.956,0.00169433936559405
28.972,0.00161091438674057
29.004,0.00152812658445142
29.012,0.00145226083289287
29.032,0.00138570331200798
29.052,0.00132260769740483
29.072,0.00125852597503879
29.092,0.00118786310980612
29.116,0.00112000992641832
29.132,0.00105492325421661
29.152,0.00100111725129273
29.176,0.000946218493786399
29.196,0.000895047512316722
29.212,0.000844069083701772
29.232,0.00079895443222353
29.252,0.000763355740544827
29.272,0.000727903626032119
29.292,0.000694354174107486
29.312,0.000660802394137924
29.332,0.000630399706596298
29.352,0.000596794513194408
29.376,0.000563911977007709
